Name,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26
Bulbasaur,Start - Tackle,L3 - Growl,L7 - Vine Whip,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L19 - Razor Leaf,L21 - Sweet Scent,L25 - Growth,L27 - Double-Edge,L31 - Worry Seed,L33 - Synthesis,L37 - Seed Bomb,TM01 - Work Up,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team
Ivysaur,Start - Tackle,Start - Growl,Start - Leech Seed,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L36 - Worry Seed,L39 - Synthesis,L44 - Solar Beam,TM01 - Work Up,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam
Venusaur,Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam
Mega Venusaur,Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam
Charmander,Start - Scratch,Start - Growl,L7 - Ember,L10 - Smokescreen,L16 - Dragon Rage,L19 - Scary Face,L25 - Fire Fang,L28 - Flame Burst,L34 - Slash,L37 - Flamethrower,L43 - Fire Spin,L46 - Inferno,TM01 - Work Up,TM02 - Dragon Claw,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace
Charmeleon,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L39 - Slash,L43 - Flamethrower,L50 - Fire Spin,L54 - Inferno,TM01 - Work Up,TM02 - Dragon Claw,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb
Charizard,Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power
Mega Charizard X,Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power
Mega Charizard Y,Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power
Squirtle,Start - Tackle,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L16 - Bite,L19 - Rapid Spin,L22 - Protect,L25 - Water Pulse,L28 - Aqua Tail,L31 - Skull Bash,L34 - Iron Defense,L37 - Rain Dance,L40 - Hydro Pump,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team
Wartortle,Start - Tackle,Start - Tail Whip,Start - Water Gun,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L17 - Bite,L21 - Rapid Spin,L25 - Protect,L29 - Water Pulse,L33 - Aqua Tail,L37 - Skull Bash,L41 - Iron Defense,L45 - Rain Dance,L49 - Hydro Pump,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return
Blastoise,Start - Flash Cannon,Start - Tackle,Start - Tail Whip,Start - Water Gun,Start - Withdraw,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L17 - Bite,L21 - Rapid Spin,L25 - Protect,L29 - Water Pulse,L33 - Aqua Tail,L40 - Skull Bash,L47 - Iron Defense,L54 - Rain Dance,L60 - Hydro Pump,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Blastoise,Start - Flash Cannon,Start - Tackle,Start - Tail Whip,Start - Water Gun,Start - Withdraw,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L17 - Bite,L21 - Rapid Spin,L25 - Protect,L29 - Water Pulse,L33 - Aqua Tail,L40 - Skull Bash,L47 - Iron Defense,L54 - Rain Dance,L60 - Hydro Pump,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Caterpie,Start - Tackle,Start - String Shot,L9 - Bug Bite,ORAS - Bug Bite,ORAS - Electroweb,ORAS - Snore,,,,,,,,,,,,,,,,,,,,
Metapod,Start - Harden,ORAS - Bug Bite,ORAS - Iron Defense,ORAS - Electroweb,Prev - Tackle,Prev - String Shot,Prev - Bug Bite,,,,,,,,,,,,,,,,,,,
Butterfree,Start - Gust,Start - Confusion,L11 - Confusion,L13 - Poison Powder,L13 - Stun Spore,L13 - Sleep Powder,L17 - Psybeam,L19 - Silver Wind,L23 - Supersonic,L25 - Safeguard,L29 - Whirlwind,L31 - Bug Buzz,L35 - Rage Powder,L37 - Captivate,L41 - Tailwind,L43 - Air Slash,L47 - Quiver Dance,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM20 - Safeguard
