,ndex,species,pokemon,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
0,1,Bulbasaur,Bulbasaur,Start - Tackle,L3 - Growl,L7 - Vine Whip,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L19 - Razor Leaf,L21 - Sweet Scent,L25 - Growth,L27 - Double-Edge,L31 - Worry Seed,L33 - Synthesis,L37 - Seed Bomb,01 - Work Up,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,16 - Light Screen,17 - Protect,20 - Safeguard,21 - Frustration,22 - Solar Beam,27 - Return,32 - Double Team,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,Ivysaur,Ivysaur,Start - Tackle,Start - Growl,Start - Leech Seed,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L36 - Worry Seed,L39 - Synthesis,L44 - Solar Beam,01 - Work Up,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,16 - Light Screen,17 - Protect,20 - Safeguard,21 - Frustration,22 - Solar Beam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3,Venusaur,Venusaur,Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,01 - Work Up,05 - Roar,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,ORAS - Outrage,Prev - Seed Bomb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,Venusaur,Venusaur (Mega Venusaur),Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,01 - Work Up,05 - Roar,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,ORAS - Outrage,Prev - Seed Bomb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,4,Charmander,Charmander,Start - Scratch,Start - Growl,L7 - Ember,L10 - Smokescreen,L16 - Dragon Rage,L19 - Scary Face,L25 - Fire Fang,L28 - Flame Burst,L34 - Slash,L37 - Flamethrower,L43 - Fire Spin,L46 - Inferno,01 - Work Up,02 - Dragon Claw,06 - Toxic,10 - Hidden Power,11 - Sunny Day,17 - Protect,21 - Frustration,27 - Return,31 - Brick Break,32 - Double Team,35 - Flamethrower,38 - Fire Blast,39 - Rock Tomb,40 - Aerial Ace,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,5,Charmeleon,Charmeleon,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L39 - Slash,L43 - Flamethrower,L50 - Fire Spin,L54 - Inferno,01 - Work Up,02 - Dragon Claw,06 - Toxic,10 - Hidden Power,11 - Sunny Day,17 - Protect,21 - Frustration,27 - Return,31 - Brick Break,32 - Double Team,35 - Flamethrower,38 - Fire Blast,39 - Rock Tomb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,6,Charizard,Charizard,Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,01 - Work Up,02 - Dragon Claw,05 - Roar,06 - Toxic,10 - Hidden Power,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,6,Charizard,Charizard (Mega Charizard X),Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,01 - Work Up,02 - Dragon Claw,05 - Roar,06 - Toxic,10 - Hidden Power,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,6,Charizard,Charizard (Mega Charizard Y),Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,01 - Work Up,02 - Dragon Claw,05 - Roar,06 - Toxic,10 - Hidden Power,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,7,Squirtle,Squirtle,Start - Tackle,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L16 - Bite,L19 - Rapid Spin,L22 - Protect,L25 - Water Pulse,L28 - Aqua Tail,L31 - Skull Bash,L34 - Iron Defense,L37 - Rain Dance,L40 - Hydro Pump,01 - Work Up,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,17 - Protect,18 - Rain Dance,21 - Frustration,27 - Return,31 - Brick Break,32 - Double Team,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
